smiles,dielectric_constant,band_gap_eV,Tg_K,monomer,reaction_type,temperature_K,solvent,reaction_time_hours,source,SMILES
[*]C(=O)c1ccc(C8H8)cc1[*],3.9772,2.5648,378.0,O=C(O)c1ccc(C8H8)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C8H8)cc1[*]
[*]C(=O)c1ccc(C4H4F4)cc1[*],3.3858,8.43,364.0,O=C(O)c1ccc(C4H4F4)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C4H4F4)cc1[*]
[*]C(=O)c1ccc(C4H8Cl4Sn2)cc1[*],33.9705,2.7978,364.0,O=C(O)c1ccc(C4H8Cl4Sn2)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C4H8Cl4Sn2)cc1[*]
[*]C(=O)c1ccc(C8H16Cl4Sn2)cc1[*],4.2702,4.7886,378.0,O=C(O)c1ccc(C8H16Cl4Sn2)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C8H16Cl4Sn2)cc1[*]
[*]C(=O)c1ccc(C4H6N2O2)cc1[*],4.1488,5.7289,371.6,O=C(O)c1ccc(C4H6N2O2)cc1C(=O)O,Condensation (Polyimidation),453.15,NMP (N-Methyl-2-pyrrolidone),6.0,database,[*]C(=O)c1ccc(C4H6N2O2)cc1[*]
[*]C(=O)c1ccc(C20H20O8)cc1[*],4.088,3.6068,410.4,O=C(O)c1ccc(C20H20O8)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C20H20O8)cc1[*]
[*]C(=O)c1ccc(C10H10O10)cc1[*],4.5302,3.688,373.0,O=C(O)c1ccc(C10H10O10)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C10H10O10)cc1[*]
[*]C(=O)c1ccc(C8H16F4Sn2)cc1[*],6.8969,5.4072,378.0,O=C(O)c1ccc(C8H16F4Sn2)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C8H16F4Sn2)cc1[*]
[*]C(=O)c1ccc(C16H20O8)cc1[*],3.2928,5.1931,396.4,O=C(O)c1ccc(C16H20O8)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C16H20O8)cc1[*]
[*]C(=O)c1ccc(C12H24F4Sn2)cc1[*],4.4937,5.0959,392.0,O=C(O)c1ccc(C12H24F4Sn2)cc1C(=O)O,Addition Polymerization,353.15,Toluene,3.0,database,[*]C(=O)c1ccc(C12H24F4Sn2)cc1[*]
[*]C(=O)c1ccc(C12H20O4Zn)cc1[*],6.3494,5.6044,387.2,O=C(O)c1ccc(C12H20O4Zn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C12H20O4Zn)cc1[*]
[*]C(=O)c1ccc(C9H14O4Zn)cc1[*],4.0058,6.4144,376.7,O=C(O)c1ccc(C9H14O4Zn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C9H14O4Zn)cc1[*]
[*]C(=O)c1ccc(C17H10OS)cc1[*],6.2197,1.7004,408.3,O=C(O)c1ccc(C17H10OS)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C17H10OS)cc1[*]
[*]C(=O)c1ccc(C9H4O2S)cc1[*],5.0277,1.6753,379.1,O=C(O)c1ccc(C9H4O2S)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C9H4O2S)cc1[*]
[*]C(=O)c1ccc(C11H18O4Zn)cc1[*],5.1383,6.068,383.7,O=C(O)c1ccc(C11H18O4Zn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C11H18O4Zn)cc1[*]
[*]C(=O)c1ccc(C6H4Mg2O8)cc1[*],5.3881,6.3677,361.4,O=C(O)c1ccc(C6H4Mg2O8)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C6H4Mg2O8)cc1[*]
[*]C(=O)c1ccc(C5H6O4Zr)cc1[*],9.1026,2.4399,362.7,O=C(O)c1ccc(C5H6O4Zr)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C5H6O4Zr)cc1[*]
[*]C(=O)c1ccc(C12H22O6Sn)cc1[*],4.6754,5.4735,384.8,O=C(O)c1ccc(C12H22O6Sn)cc1C(=O)O,Esterification,393.15,DMF (Dimethylformamide),4.5,database,[*]C(=O)c1ccc(C12H22O6Sn)cc1[*]
